rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
274,mauvais,"adv,nadj(pl)",masculine,"bad, wrong",il constitue un pas dans la mauvaise direction,it constitutes a step in the wrong direction,movɛ
275,quant,adv,,as for,les vents tempêtueux ont modifié la situation quant aux avalanches,the stormy winds changed the avalanche situation,kɑ͂t
276,mort,"adj,nf",feminine,dead; death,la mort ne m’effraye pas,death doesn’t frighten me,mɔʀ
277,mal,"adji,adv,nm",masculine,bad,"autrement dit, la journée a plutôt mal commencé","in other words, the day started out rather badly",mal
278,lire,"nf,v",,to read; lira,je ne voulais pas lire mes poèmes,I didn’t want to read my poems,liʀ
279,réussir,v,,to succeed,il ne réussit pas à vendre un seul dessin,he can’t manage to sell even one drawing,ʀeysiʀ
280,marché,nm,masculine,market,le marché des maisons est resté stable,the housing market has remained stable,maʀʃe
281,condition,nf,feminine,condition,l’unité de la condition humaine,the unity of the human condition,kɔ͂disjɔ͂
282,international,nadj,,international,elle jouit également d’une excellente réputation internationale,she also has an excellent international reputation,"ɛ͂tɛʀnasjɔnal, o"
283,changer,v,,to change,"ensemble, ils ont changé beaucoup de choses","together, they changed many things",ʃɑ͂ʒe
284,oui,"adv,nmi",masculine,yes,"oui, oui, je sais!","yes, yes, I know",ˊwi
285,public,nadj,masculine,"public, audience",je dois beaucoup au public,I owe a lot to the public,pyblik
286,humain,nadj,masculine,human,"vous savez, on est humains, nous aussi","you know, we are also human",ymɛ͂
287,souvent,adv,,often,mais alors souvent en fin de soirée c’est la fête,"well, often the night ends with a party",suvɑ͂
288,cinq,"det,nm(pl)",,five,"j’ai cinq minutes, je dois rencontrer quelqu’un à midi",I have five minutes—I have to meet someone at noon,"sɛ͂k,"
289,système,nm,masculine,system,j’ai décrit le système idéal,I described the idealsystem,sistɛm
290,travailler,v,,to work,nous devons travailler ensemble,we have to work together,tʀavaje
291,jeu,nm,masculine,game,nous n’entrons pas dans le jeu de la politique,we don’t enter into the political fray,ʒø
292,vrai,"adv,nadj",masculine,True,"ah, oui, c’est vrai","oh, yes, that’s right",vʀɛ
293,représenter,v,,to represent,il représente bien le sport français,he represents French sports very well,ʀ(ə)pʀezɑ͂te
294,madame,nf,feminine,"madam, lady",et je suis au service de madame,"I’m at your service, ma’am","madam, medam"
295,société,nf,feminine,society,on vit dans une société où tout s’accélère,we live in a society where everything is accelerating,sɔsjete
296,difficile,nadj(f),,difficult,"c’est difficile, monsieur, très difficile d’être un homme","sir, it’s difficult—very difficult—to be a man",difisil
297,quoi,pro,,what,je ne sais pas de quoi vous parlez,I don’t know what you’re talking about,kwa
298,entreprise,nf,feminine,"enterprise, business",j’ai moi-même l’esprit d’entreprise,I myself have an entrepreneurial spirit,ɑ͂tʀəpʀiz
299,coup,nm,masculine,"coup, blow, knock, stroke",je lui donne juste un coup de main. je le lui dois,I’m just giving him a helping hand. I owe it to him,ku
300,or,"conj,nm",masculine,"gold; hence, thus",je ne suis pas chercheuse d’or,I’m not a gold-digger,ɔʀ
301,social,nadj,,social,elle a une dimension sociale autant que biologique,it has a social dimension as much as a biological one,sɔsjal
302,assurer,v,,"to assure, insure",le contrat assure une pension à l’époux survivant,the contract guarantees a pension to the surviving spouse,asyʀe
303,essayer,v,,to try,je vais essayer de vous convaincre,I’ll try to convince you,eseje
304,juste,"adv,nadj(f)",masculine,"just, only; fair","vous êtes juste et impartial, comme toujours","you’re fair and impartial, as always",ʒyst
305,étranger,nadj,masculine,foreigner; foreign,la situation est bien différente à l’étranger,the situation is very different abroad,"etʀɑ͂ʒe, -ɛʀ"
306,empêcher,v,,to prevent,cela n’aurait évidemment rien empêché,apparently that wouldn’t have prevented anything,ɑ͂peʃe
307,million,nm,masculine,million,un quart de million d’articles ont été distribués,a quarter million articles were distributed,miljɔ͂
308,manière,nf,feminine,"manner, way","de cette manière, nous serons ensemble","this way, we will be together",manjɛʀ
309,sortir,v,,"to go out, leave",sortez ou j’appelle la police,get out of here or I’ll call the police,sɔʀtiʀ
310,prix,nm(pl),masculine,price; prize,il y a un prix pour les gagnants,there is a prize for the winners,pʀi
311,terme,nm,masculine,"term, deadline",l’éducation sur le long terme paiera,education will pay off in the long term,tɛʀm
312,longtemps,adv,,"a long time, a long while",pendant longtemps il ne bougea pas de son lit,for a long while he didn’t move from his bed,lɔ͂tɑ͂
313,reprendre,v,,"to resume, recover, start again, take back","on peut les arrêter, leur reprendre cette ville","we can arrest them, take back this city from them",ʀ(ə)pʀɑ͂dʀ
314,courant,"adj,nm",masculine,current,"je suis au courant, il a téléphoné","I’m aware of it, he telephoned",kuʀɑ͂
315,intérêt,nm,masculine,interest,l’avenir ne présente guère d’intérêt,the future is hardly interesting,ɛ͂teʀɛ
316,mener,v,,to lead,la police mène une enquête pour arrêter les assaillants,the police are leading an investigation to arrest the attackers,məne
317,information,nf,feminine,information,ces dirigeants ont décidé de taire ces informations,these leaders decided to suppress this information,ɛ͂fɔʀmasjɔ͂
318,détail,nm,masculine,detail,vous devriez tout me raconter en détails,you should tell me everything in minute detail,detaj
319,appartenir,v,,to belong,cet argent n’appartient pas au gouverne- ment,this money does not belong to the government,apaʀtəniʀ
320,liberté,nf,feminine,"liberty, freedom",on se bat pour la liberté d’expression,we’re fighting for freedom of expression,libɛʀte
321,assez,adv,,enough,les journées ne sont plus assez longues,the days are no longer long enough,ase
322,risquer,v,,to risk,un avocat ne viendra pas risquer sa vie,a lawyer won’t come here to risk his life,ʀiske
323,chacun,pro,,each,"ils ont chacun leurs intérêts, leurs passions","they each have their own interests, passions","ʃakœ͂, ʃakyn"
324,concerner,v,,to concern,"en ce qui me concerne, je voudrais te féliciter","for my part, I would like to congratulate you",kɔ͂sɛʀne
325,maison,nf,feminine,house,elle est revenue habiter à la maison,she came back to live at home,mɛzɔ͂
326,d’abord,adv,,first of all,je voudrais d’abord savoir quel métier tu exerces,I would first of all like to know what you do for a living,abɔʀ
327,apprendre,v,,to learn,où as-tu appris le métier?,where did you learn your trade?,apʀɑ͂dʀ
328,niveau,nm,masculine,level,ce niveau de collaboration ne sera pas maintenu,this level of cooperation will not bemaintained,nivo
329,rencontrer,v,,to meet,il rencontrera le pape au Vatican vendredi,he will meet the Pope at the Vatican on Friday,ʀɑ͂kɔ͂tʀe
330,ton,"det,nm",masculine,your; tone,le ton était donné,the tone was sounded,tɔ͂
331,œuvre,nf,feminine,"work, task",peu d’auteurs font référence à son œuvre,few authors cite his work,œvʀ
332,créer,v,,to create,des malentendus nous créent des problèmes terribles,misunderstandings create horrible problems for us,kʀee
333,état,nm,masculine,state,la police était en état d’alerte maximum,the police were in a full state of emergency,eta
334,obtenir,v,,"to get, obtain",j’essaierai d’obtenir la réponse pour demain,I will try to get the answer for tomorrow,ɔptəniʀ
335,clair,"adv,nadj",masculine,clear,"la nuit était froide et claire, sous la lune","the night was cold and clear, under the moon",klɛʀ
336,chercher,v,,to look for,je ne cherche pas la richesse,I am not seeking riches,ʃɛʀʃe
337,entrer,v,,"to enter, go in, come in",faut trouver le moyen d’ entrer dans le sous- sol,gotta find the way to enter into the basement,ɑ͂tʀe
338,proposer,v,,to propose,le jeune Français propose une promenade au parc,the young Frenchman proposed a stroll through the park,pʀɔpoze
339,apporter,v,,to bring,je vous ai apportée des fleurs de mon jardin,I brought you flowers from my garden,apɔʀte
340,programme,nm,masculine,program,utilisons ce programme comme il se doit,let’s use this program the way it should be,pʀɔgʀam
341,loin,"adv,nm",,far,tu es venu de si loin,you came from so far away,lwɛ͂
342,ligne,nf,feminine,line,il ne compte qu’une seule ligne de texte,it only has a single line of text,liɲ
343,tête,nf,feminine,head,ma tête me gratte,my head is itchy,tɛt
344,libre,adj(f),,free,demain je suis libre toute la journée,tomorrow I’m free all day,libʀ
345,utiliser,v,,to use,il utilisait une sorte de rasoir,he was using some type of razor,ytilize
346,atteindre,v,,to reach,leur fortune atteindrait des milliards,their fortune would reach billions,atɛ͂dʀ
347,tenter,v,,"to tempt, try",il tente de sortir de l’Italie,he tried to leave Italy,tɑ͂te
348,tard,adv,,late,"retournez au lit, il est tard","go back to bed, it’s late",taʀ
349,enfin,adv,,"at last, finally",elle avait enfin la réponse,she finally got the answer,ɑ͂fɛ͂
350,différent,adj,,different,c’est un bruit complètement différent,it’s a completely different noise,"difeʀɑ͂, ɑ͂t"
351,sorte,nf,feminine,"sort, kind",la boisson est une sorte de drogue,liquor is a kind of drug,sɔʀt
352,cependant,"adv,conj",,however,cette sécurité se trouve cependant menacée,"this security is, however, threatened",s(ə)pɑ͂dɑ͂
353,sujet,nm,masculine,"subject, topic",je cherchais un sujet de mémoire,I was looking for a thesis topic,syʒɛ
354,importer,v,,to import; to be important,il importait de ne pas répéter l’erreur,it’s important to not repeat the mistake,ɛ͂pɔʀte
355,action,nf,feminine,action,le président devrait éviter des actions irréfléchies,the president should avoid rash actions,aksjɔ͂
356,relation,nf,feminine,relationship,il y a là une relation intéressante à explorer,now there is an interesting relationship to explore,ʀ(ə)lasjɔ͂
357,recherche,nf,feminine,"research, search",la recherche en santé peut se révéler extrêmement bénéfique,health research can be extremely beneficial,ʀ(ə)ʃɛʀʃ
358,livre,"nm,nf",masculine,book,je me mis à feuilleter les livres,I began paging through the books,livʀ
359,ajouter,v,,to add,il ajouta à sa lettre une note,he added a note to his letter,aʒute
360,ailleurs,adv,,"elsewhere, somewhere else",les négociations décisives se tiennent ailleurs,the decisive negotiations are taking place elsewhere,ajœʀ
361,vraiment,adv,,"truly, really, very","très mauvais, c’est pas vraiment sexy","very bad, it’s not really sexy",vʀɛmɑ͂
362,doute,nm,masculine,doubt,il n’y a sans doute rien à voir,"without a doubt, there’s nothing to see",dut
363,reste,nm,masculine,rest,"c’est tout. le reste, je m’en fous","that’s all. for the rest, I couldn’t give a sh*t",ʀɛst
364,début,nm,masculine,beginning,je l’ai expliqué au début de mon discours,I explained it at the beginning of my talk,deby
365,présence,nf,feminine,presence,j’ai besoin de sa présence; elle est mon ange,I need to be in her presence; she is my angel,pʀezɑ͂s
366,nombreux,adj(pl),,numerous,j’ai participé à de nombreux débats de ce genre,I have participated in numerous debates of this kind,"nɔ͂bʀø, -øz"
367,produire,v,,to product,nous devons produire quelque chose sur les terres en jachère,we must produce something with the fallow lands,pʀɔdɥiʀ
368,préparer,v,,to prepare,je vous prépare à manger?,should I prepare you some food?,pʀepaʀe
369,forme,nf,feminine,form,les électrons ne sont plus sous forme de gaz,the electrons are no longer in the form of gas,fɔʀm
370,décision,nf,feminine,decision,"parfois, vos décisions nous déçoivent",sometimes your decisions disappoint us,desizjɔ͂
371,rôle,nm,masculine,role,il joue un rôle actif sur la scène interna- tionale,he plays an active role in the international scene,ʀol
372,dix,"det,nmi",,ten,je patiente depuis dix minutes,I have been patiently waiting for ten minutes,"dis,"
373,produit,nm,masculine,product,de nouveaux marchés s’ouvrent ainsi aux produits français,new markets are thus opening to French products,pʀɔdɥi
374,américain,nadj,masculine,American,c’est la voie que les Américains ont choisie,it’s the path that the Americans have chosen,ameʀikɛ͂
375,minute,nf,feminine,minute,vous ne pouvez pas attendre deux minutes,you can’t wait two minutes,minyt
376,relever,v,,to raise,elle relevait la tête pour croiser mon regard,she lifted up her head to catch me looking at her,"ʀəl(ə)ve, ʀ(ə)ləve"
377,autant,adv,,"as much, as many",il a une bonne raison pour tarder autant,he has a good reason for being so late,otɑ͂
378,peuple,nm,masculine,people,ma vengeance va s’abattre sur votre peuple!,my vengeance will smite your people!,pœpl
379,second,"adj,det,nm",masculine,second,j’ai écrit la seconde partie du roman avant la première,I wrote the second part of the novel before the first,s(ə)gɔ͂
380,prochain,nadj,,next,je vous offre 50% sur votre billet prochain,I’ll offer you 50% off your next ticket,pʀɔʃɛ͂
381,particulier,nadj,masculine,"particular, peculiar; person",j’ai un regard un peu particulier,I have a somewhat peculiar look,paʀtikylje
382,écrire,v,,to write,c’est pour cela que j’écris,that’s why I’m writing,ekʀiʀ
383,position,nf,feminine,position,ils ne changent pas de position à ce sujet,they aren’t changing positions on this subject,pozisjɔ͂
